paper_id,title,publication_year,embedding_index
https://openalex.org/W2914953695,Adversarial Attacks on Graph Neural Networks via Meta Learning,2019,69
https://openalex.org/W3129850062,Self-Supervised Learning of Graph Neural Networks: A Unified Review,2022,70
https://openalex.org/W3125542198,Benchmarking graph neural networks for materials chemistry,2021,71
https://openalex.org/W4285024875,Flexible Job-Shop Scheduling via Graph Neural Network and Deep Reinforcement Learning,2022,72
https://openalex.org/W4312703862,Decoupled dynamic spatial-temporal graph neural network for traffic forecasting,2022,73
https://openalex.org/W3134509497,GraphSMOTE: Imbalanced Node Classification on Graphs with Graph Neural Networks,2021,74
https://openalex.org/W2950697450,Exploiting Edge Features for Graph Neural Networks,2019,75
https://openalex.org/W2977973695,RouteNet: Leveraging Graph Neural Networks for Network Modeling and Optimization in SDN,2020,76
https://openalex.org/W4328008037,Graph Neural Networks for Intelligent Transportation Systems: A Survey,2023,77
https://openalex.org/W2468907370,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,2016,78
https://openalex.org/W3172710079,Self-supervised Heterogeneous Graph Neural Network with Co-contrastive Learning,2021,79
https://openalex.org/W3024560045,Foundations and Modeling of Dynamic Networks Using Dynamic Graph Neural Networks: A Survey,2021,80
https://openalex.org/W3175971420,Heterogeneous Graph Structure Learning for Graph Neural Networks,2021,81
https://openalex.org/W2964971928,Topology Attack and Defense for Graph Neural Networks: An Optimization Perspective,2019,82
https://openalex.org/W3045255111,Streaming Graph Neural Networks,2020,83
https://openalex.org/W2951626319,Metapath-guided Heterogeneous Graph Neural Network for Intent Recommendation,2019,84
https://openalex.org/W3208773001,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT,2022,85
https://openalex.org/W3007332492,Benchmarking Graph Neural Networks,2020,86
https://openalex.org/W4319762935,Everything is connected: Graph neural networks,2023,87
https://openalex.org/W3032123378,Drug–target affinity prediction using graph neural network and contact maps,2020,88
https://openalex.org/W2788512147,Link Prediction Based on Graph Neural Networks,2018,89
https://openalex.org/W3090999459,Graph Neural Networks with Heterophily,2021,90
https://openalex.org/W2150120952,Computational Capabilities of Graph Neural Networks,2008,91
https://openalex.org/W2963415211,GeniePath: Graph Neural Networks with Adaptive Receptive Paths,2019,92
https://openalex.org/W3178367256,Graph Neural Networks for Anomaly Detection in Industrial Internet of Things,2021,93
https://openalex.org/W4317931697,Graph Neural Networks for Natural Language Processing: A Survey,2023,94
https://openalex.org/W4281686206,A federated graph neural network framework for privacy-preserving personalization,2022,95
https://openalex.org/W2949700412,Multi-Channel Graph Neural Network for Entity Alignment,2019,96
https://openalex.org/W2971598376,Optimal Wireless Resource Allocation With Random Edge Graph Neural Networks,2020,97
https://openalex.org/W2969996838,Predicting Drug–Target Interaction Using a Novel Graph Neural Network with 3D Structure-Embedded Graph Representation,2019,98
https://openalex.org/W4382202833,Simple and Efficient Heterogeneous Graph Neural Network,2023,99
